livre,langue,gutenberg,titre_gutenberg,auteurs_catalogue,verdict,raison
Pride and Prejudice,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Pride and Prejudice,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Pride and Prejudice,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Pride and Prejudice,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Pride and Prejudice,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Les Misérables,fr,"[17489, 17493, 17494, 17518, 17519]",,,OK,vérifié à la main : 
Les Misérables,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Les Misérables,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Les Misérables,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Les Misérables,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Frankenstein,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Frankenstein,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Frankenstein,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Frankenstein,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
War and Peace,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
War and Peace,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
War and Peace,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
War and Peace,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
War and Peace,ru,,,,ABSENT,aucune édition trouvée sur Gutenberg
Crime and Punishment,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Crime and Punishment,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Crime and Punishment,es,61851,,,OK,vérifié à la main : Traduction : Pedro Pedraza y Páez (né en 1877)
Crime and Punishment,ru,,,,ABSENT,aucune édition trouvée sur Gutenberg
Anna Karenina,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Anna Karenina,de,"[44956, 44957]",,,OK,"vérifié à la main : Traduction : Hans Moser (d'après la 7e édition), 2 volumes réunis"
Anna Karenina,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Anna Karenina,ru,,,,ABSENT,aucune édition trouvée sur Gutenberg
Jane Eyre,fr,16235,,,OK,vérifié à la main : Traduction : Mme Lesbazeilles-Souvestre (1854)
Jane Eyre,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Jane Eyre,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Jane Eyre,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Great Expectations,fr,17565,,,OK,vérifié à la main : Traduction : Charles Bernard-Derosne († 1904)
Great Expectations,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Dracula,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Dracula,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Strange Case of Dr Jekyll and Mr Hyde,fr,76412,Le cas étrange du docteur Jekyll; Un logement pour la nuit,"Stevenson, Robert Louis, 1850-1894; Lowe, B. J. (Berthe Julienne), 1853-1909 [Translator]",OK,traducteur décédé avant 1956
The Strange Case of Dr Jekyll and Mr Hyde,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Strange Case of Dr Jekyll and Mr Hyde,es,62627,,,OK,vérifié à la main : Traduction : Emilio Augusto Soulère (né en 1840)
The Adventures of Sherlock Holmes,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Sherlock Holmes,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Sherlock Holmes,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Wuthering Heights,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Wuthering Heights,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Picture of Dorian Gray,fr,14192,Le portrait de Dorian Gray,"Wilde, Oscar, 1854-1900; Savine, Albert, 1859-1927 [Translator]",OK,traducteur décédé avant 1956
The Picture of Dorian Gray,de,44238,Das Bildnis des Dorian Gray,"Wilde, Oscar, 1854-1900; Zoozmann, Richard, 1863-1934 [Translator]",OK,traducteur décédé avant 1956
The Picture of Dorian Gray,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Picture of Dorian Gray,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Moby-Dick,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Moby-Dick,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Twenty Thousand Leagues Under the Sea,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Twenty Thousand Leagues Under the Sea,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Twenty Thousand Leagues Under the Sea,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Twenty Thousand Leagues Under the Sea,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
